Source,Destination,Weight
kathy proctor,UNITED STATES,1.0
william porterfield,BANGLADESH,1.0
rudolph giuliani,UNITED STATES,2.0
david girdwood,TURKEY,1.0
ban ki moon,LEBANON,2.0
stephen constantine,INDIA,1.0
marie colvin,EGYPT,4.0
mohd fakhrurrazi mohd saburi,MALAYSIA,1.0
mary fitzgerald,EGYPT,1.0
shaun white,ASIA,2.0
mark gundy,UNITED ARAB EMIRATES,1.0
jay bothroyd,UNITED ARAB EMIRATES,4.0
monaamana jawad,ISRAEL,1.0
tommy oar,AUSTRALIA,15.0
norma kamali,UNITED STATES,1.0
florencia molinero,INDIA,1.0
jane knight,OMAN,2.0
david nunn,CYPRUS,1.0
lisa halaby,UNITED STATES,1.0
edward rainsford,DUBAI UNITED ARAB EMIRATES,2.0
abdul karim musa abdul karim,SUDAN,1.0
joshua stacher,EGYPT,1.0
steven linney,TUNISIA,2.0
kyle busch,NORTH AMERICA,1.0
pascale petit,LONDON ENGLAND,1.0
david pearson,NORTH AMERICA,1.0
liverpooland fernando torres,SPAIN,1.0
jalal talabaniand,IRAQ,1.0
laurent gbagbohas,TUNISIA,6.0
amin gemayel,LEBANON,1.0
pakistanicricketer mohammad asif,QATAR,1.0
necdet aktas,SYRIA,1.0
erik hjulstrom,NORWAY,1.0
elaine syron,NORTHERN TERRITORY AUSTRALIA,1.0
scot elliot saltman,ABU DHABI UNITED ARAB EMIRATES,2.0
khalid al-matrafi,QATAR,1.0
nawful daw,LEBANON,1.0
navi pillay,TUNISIA,11.0
michael de ouenze,NIGERIA,1.0
sean combs,IRAQ,1.0
redhwan masood,TUNISIA,1.0
claudia puig,VICTORIA AUSTRALIA,1.0
awad ahmed al-jaz,SUDAN,1.0
robert kaplan,PALESTINIAN TERRITORY OCCUPIED,1.0
nasir judahthe,FRANCE,1.0
mike miller,ISRAEL,1.0
fiona johnson,INDIA,1.0
hugo ch vez,VENEZUELA BOLIVARIAN REPUBLIC OF,1.0
john surtees,UNITED STATES,1.0
sahr ngaujah,LONDON ENGLAND,1.0
fatah falhi,TUNISIA,1.0
miss middleton,ENGLAND,1.0
charl schwartzel,UNITED ARAB EMIRATES,7.0
thomas hyland,CHINA,1.0
george murray,SOUTH AFRICA,2.0
lauren booth,MALAYSIA,1.0
carolyn penneras,UNITED STATES,1.0
freddy adu,GERMANY,1.0
robert gates.net anyahu,EGYPT,1.0
gordon gentlewho,UNITED STATES,3.0
gene cretz,TUNISIA,1.0
zahra mohamed,KUWAIT,1.0
richard needham,SCOTLAND,1.0
anthony horowitz,DUBAI UNITED ARAB EMIRATES,2.0
tom hopkinson,UNITED ARAB EMIRATES,1.0
samir rifa'i,IRAQ,2.0
nazha kacimi,AFRICA,1.0
john harvey,AUSTRALIA,1.0
mrramzi zammali,UNITED ARAB EMIRATES,1.0
miranda richardson,UNITED KINGDOM,2.0
michael robertsonsection,SCOTLAND,1.0
alexandra zabjek,CANADA,1.0
elena vesnina,AUSTRALIAN CAPITAL TERRITORY,1.0
andries iniesta,AFRICA,2.0
abdul rashid,UNITED ARAB EMIRATES,1.0
ewan mcgregor,LONDON ENGLAND,2.0
nick desantis,FRANCE,1.0
mustafa moussa,ASIA,1.0
mossadchief meir dagan,IRAN ISLAMIC REPUBLIC OF,5.0
danny wilson,TUNISIA,1.0
vera zvonareva,MELBOURNE AUSTRALIA,3.0
muhammad al bouazizi,TUNISIA,9.0
ivo sanader,QATAR,1.0
yousif hamad al-ibrahim,KUWAIT,1.0
avram grantwas,LIVERPOOL ENGLAND,1.0
melinda gates,UNITED KINGDOM,2.0
mirza al-khuwaylidi,QATAR,2.0
ali idir,IRAQ,2.0
henry imashekka,NIGERIA,1.0
claude dualsection,DUBAI UNITED ARAB EMIRATES,1.0
south koreanpair koo ja-cheol,BAHRAIN,1.0
peter jones,VICTORIA AUSTRALIA,1.0
coptic pope shenouda iii,EGYPT,30.0
massimiliano allegri,ENGLAND,1.0
janko tipsarevic,QATAR,1.0
salam abdul kareem,IRAQ,1.0
eljero elia,ASIA,1.0
abdallah bin abd-al-aziz al-saud,LEBANON,1.0
sheik zayed bin sultan al-nahyan,UNITED ARAB EMIRATES,1.0
james baker,KUWAIT,1.0
geoff thompson,GUATEMALA,1.0
luke donald,UNITED ARAB EMIRATES,1.0
christian ekkebusstood,NETHERLANDS,1.0
jordi valles,BEIJING CHINA,1.0
scot ross bain,INDIA,1.0
le figaro,FRANCE,2.0
nabil al-usaidi,YEMEN,1.0
samir geagea,UNITED STATES,2.0
bilal badr-eddeen omari,AUSTRALIA,1.0
elena arzak,SINGAPORE,1.0
georgina prodhan,EGYPT,2.0
edmund ugwu,EGYPT,1.0
james brown,DUBAI UNITED ARAB EMIRATES,6.0
stefano domenicali,WALES,1.0
shi jinsong,NORTH CENTRAL CHINA,1.0
jason mellorsection,ENGLAND,2.0
steven davis,NORTHERN IRELAND,2.0
adolf hitler,PALESTINIAN TERRITORY OCCUPIED,1.0
mark hodson,MALDIVES,2.0
atta reza shahad abbas,IRAN ISLAMIC REPUBLIC OF,1.0
martin browne,EGYPT,2.0
peter gelb,CANADA,3.0
george eliot,MALDIVES,1.0
hadji malick,TUNISIA,2.0
ian mortimer,IRAQ,1.0
fareez izwan mokhtar,MALAYSIA,1.0
marc mcevoysection,IRAQ,1.0
zineel-abidine ben alis,TUNISIA,1.0
ashley perry,TUNISIA,1.0
clifford stott,QATAR,2.0
mehdi meriah,TUNISIA,2.0
james cartwright,UNITED STATES,1.0
charles edward stuart,SAUDI ARABIA,1.0
kang bo long,MALAYSIA,2.0
drusestrongman walid jumblatt,LEBANON,27.0
tony franken,BRISBANE AUSTRALIA,2.0
gibran bassil,SYRIA,1.0
alec maclachlan,IRAQ,1.0
philip fenton,IRELAND,3.0
dimitrios fessas,GREECE,1.0
primeminister benjamin netanyahu,UNITED STATES,5.0
lembit opik,KENYA,1.0
mokhtar jalleli,TUNISIA,1.0
yasser saud dahlawi,BAHRAIN,4.0
ryan harrison,AUSTRALIA,1.0
eric johnson,UNITED STATES,1.0
biddy martin,AUSTRALIA,1.0
terrence yapasian,SINGAPORE,1.0
ryan gosling,EGYPT,1.0
liam kelly,KOREA REPUBLIC OF,1.0
thomas cook tycoon,COSTA RICA,2.0
sue dewar,EGYPT,1.0
conor o'shea,ENGLAND,1.0
david butler,AUSTRALIA,1.0
faruk khalil muhammad ` isa,CANADA,2.0
callum ferguson,AUSTRALIA,1.0
