Source,Destination,Weight
presidentzine el abidine ben ali,IRAN ISLAMIC REPUBLIC OF,1.0
hajiya turai yar,NIGERIA,1.0
mohamed talal,MOROCCO,2.0
ivan enabu,UGANDA,2.0
cathlene turnburkecline,TAMPA FL USA,2.0
mohammed sarhan,PALESTINIAN TERRITORY OCCUPIED,1.0
nico hulkenberg,INDIA,1.0
ali lawrence,SYRIA,2.0
thom shanker,AFGHANISTAN,1.0
alan gray,IRELAND,1.0
yoo hee-seok,OMAN,1.0
arik bender,ISRAEL,1.0
mussolini alfa,ARGENTINA,1.0
neville chamberlain,UNITED KINGDOM,3.0
lily safra,NEW SOUTH WALES AUSTRALIA,1.0
john hannah,IRAQ,2.0
hrhfaysal bin al-husayn,JORDAN,1.0
scott galloway,MALAYSIA,1.0
kevin ryan,UNITED ARAB EMIRATES,1.0
muhammad najib miqati,LEBANON,18.0
mike ricafort,PHILIPPINES,1.0
dilma rousseff,PARAGUAY,1.0
ramzi achich,TUNISIA,1.0
ali akbar salehi,SYRIA,5.0
jack straw,EUROPE,1.0
sarah selina waterman,VICTORIA AUSTRALIA,1.0
stephen borthwick,SCOTLAND,1.0
paul gibson,AFGHANISTAN,1.0
benjamin becker,AUSTRALIA,1.0
sari nusseibeh,PALESTINIAN TERRITORY OCCUPIED,1.0
samuel eto'o,SPAIN,1.0
s.b. etcheverry,ARGENTINA,1.0
agricultureminister abdel-halim al-mutaa,SUDAN,1.0
moses montefiore,ISRAEL,1.0
marc lynch,TUNISIA,3.0
caroline wozniacki6-1,MASSACHUSETTS USA,1.0
abinash treebhoowoon,MAURITIUS,3.0
ramin mostaghim,EGYPT,1.0
gillian mckeith,UNITED KINGDOM,2.0
geoffrey rush,AUSTRALIA,1.0
jam-e jam,IRAN ISLAMIC REPUBLIC OF,1.0
jodie minussection,AUSTRALIA,2.0
p.k. abdul ghafour,SAUDI ARABIA,2.0
rich mkhondo,AFRICA,4.0
robert allen,UNITED STATES,1.0
ahmad abd-al-hadi,PALESTINIAN TERRITORY OCCUPIED,1.0
samuel ransford nortey,NIGERIA,2.0
paul skivington,UNITED STATES,1.0
rashid gumbo,AFRICA,1.0
hays codewas,MOROCCO,1.0
john frankenheimer,FRANCE,1.0
goran tomasevic,EGYPT,3.0
jafar panahi,AUSTRALIA,2.0
hayat saloumi,LEBANON,1.0
danny malloy,UNITED STATES,1.0
ahmed elmohamady,EGYPT,2.0
nick candy,EUROPE,9.0
sylvester mccoy,AUSTRALIA,1.0
ahmed hussein adam jem,SUDAN,10.0
will gove,UNITED STATES,1.0
angharad mair,WALES,1.0
ed norton,QATAR,1.0
rose vibert,JAPAN,1.0
parsons green,LONDON ENGLAND,1.0
sergey diaghilev,SCOTLAND,1.0
james blake,LONDON ENGLAND,1.0
jonathan schultzsection,QATAR,2.0
phil mickelsonand,SPAIN,1.0
ricki robson,IRAQ,1.0
mike logan,UNITED STATES,1.0
matt mackay,PERTH AUSTRALIA,1.0
marci shimoff,MEXICO,1.0
david cameronyet,IRAQ,1.0
bilal ahmed,EGYPT,3.0
khalid abdallah,EGYPT,1.0
roger ebert,UNITED STATES,1.0
irwin mitchell,MEDITERRANEAN SEA,2.0
christine moore,NEW SOUTH WALES AUSTRALIA,1.0
stuart davies,RUSSIAN FEDERATION,3.0
ahmad al-kubaysi,EGYPT,1.0
amro musa,SUDAN,2.0
yusuf raza gillani,UNITED STATES,1.0
tim finchem,UNITED STATES,1.0
ivan bukenya,BURUNDI,2.0
joanne leng,EGYPT,1.0
bill clintonattended,HAITI,1.0
ramadan tayyib khaz,BAGHDAD IRAQ,1.0
christopher nolan,UNITED STATES,2.0
julius caesar,SAUDI ARABIA,1.0
russell crowe,IRAQ,1.0
zhang dawei,CANADA,1.0
guy savoy andsanti santamaria,SINGAPORE,1.0
keegan bradley,UNITED STATES,1.0
paul scholes,UNITED ARAB EMIRATES,2.0
saad eldin ihad,EGYPT,1.0
datuk nicol david,UNITED STATES,1.0
bill messina,UNITED STATES,1.0
maxine trent,UNITED STATES,1.0
bobby fischer,UNITED STATES,1.0
christopher leake,UNITED STATES,1.0
abdulkadir mohammed ali,SOMALIA,2.0
gamal abdul nasser,UGANDA,1.0
michael robinson chavez,CHINA,1.0
lech kaczynski,PALESTINIAN TERRITORY OCCUPIED,1.0
muhammad husni mubarak,YEMEN,1.0
nabil ashri,SAUDI ARABIA,1.0
david duckham,UNITED STATES,1.0
henry umoru,QATAR,1.0
designatenajib mikati,SYRIA,2.0
jason clare,CANADA,1.0
tahir sharif sayfildin,UNITED STATES,1.0
tendai biti,ZIMBABWE,5.0
brad haddin,ENGLAND,2.0
rebecca anna stoilsection,PALESTINIAN TERRITORY OCCUPIED,1.0
mohammed kassid,YEMEN,1.0
thabo mbeki,SUDAN,8.0
steve yzerman,IRAN ISLAMIC REPUBLIC OF,1.0
emilia narnidavid,SAUDI ARABIA,2.0
jim scott,FRANCE,1.0
muhammad halayqa,JORDAN,1.0
lindsay barnettfrom,LIBYAN ARAB JAMAHIRIYA,1.0
mohammed bouazzi,TUNISIA,2.0
andrew laming,AUSTRALIA,1.0
catherine deneuve,LONDON ENGLAND,1.0
kim hwang-sik,KOREA REPUBLIC OF,2.0
jan poulsen,AFRICA,3.0
nick peksa,ITALY,2.0
greg dyke,UNITED KINGDOM,3.0
nigel de jong,LONDON ENGLAND,1.0
elena vesnina,INDIA,1.0
benny ginsberg,LONDON ENGLAND,1.0
ali hasan khalil,SAUDI ARABIA,1.0
robbie kruze,ADELAIDE AUSTRALIA,3.0
peter watts,IRAQ,1.0
ray kondo,UNITED STATES,1.0
wootton bassett,AFGHANISTAN,1.0
john couchadams,PARIS FRANCE,2.0
gianni de gennaro,ITALY,1.0
gillian o'leary,BAHRAIN,4.0
let clint,TUNISIA,1.0
essam abouzeina,CONGO THE DEMOCRATIC REPUBLIC OF THE,2.0
randy lerner,UNITED STATES,1.0
abid abbas humud salim,IRAQ,1.0
gary mcsheffrey,SAUDI ARABIA,2.0
martin scorcese,AUSTRALIA,1.0
james glen,AUSTRALIA,3.0
sammy ameobi,RUSSIAN FEDERATION,1.0
zin el abidin ben ali,UNITED KINGDOM,1.0
geoffrey massa,AFRICA,2.0
al thani,PAKISTAN,1.0
akshay kumar,INDIA,3.0
eiji kawashimakept,QATAR,1.0
zaid thaker,IRAQ,1.0
dave flaskas,AUSTRALIA,2.0
julius mbaraga,AFRICA,1.0
tom miller,BAGHDAD IRAQ,1.0
adnan taj shallal sharhan,IRAQ,2.0
zine el ben ali,SAUDI ARABIA,3.0
mohamed tahacairo,EGYPT,1.0
abdulla al dakeel,INDIA,1.0
hussein riyad,EGYPT,1.0
barack obama inwashington,RUSSIAN FEDERATION,1.0
mark cavendish,UNITED STATES,1.0
michael amon,SUDAN,1.0
amy chyao,MEXICO,1.0
abla abu ulbah,JORDAN,2.0
kitty bennett,UNITED STATES,1.0
charlotte moore,UNITED STATES,2.0
tim costello,QUEENSLAND AUSTRALIA,1.0
slim othmani,ALGERIA,1.0
joseph cook,AUSTRALIA,1.0
gareth griffithssection,DUBAI UNITED ARAB EMIRATES,1.0
arif naqvi,DUBAI UNITED ARAB EMIRATES,1.0
theo walcott,OMAN,1.0
xiaoda xiao,ISRAEL,1.0
jeff oyando,KENYA,1.0
john hastings,AUSTRALIA,1.0
abu dhabiwith rafael nadal,TAMPA FL USA,1.0
sarah mesko,UNITED STATES,1.0
jeremy batstone-carr,UNITED STATES,1.0
john lewis food hall,BARBADOS,1.0
neil kilkennya,AUSTRALIA,1.0
mario luis kreutzberger blumenfeld,CHILE,1.0
giora eiland,EGYPT,2.0
chris pattenpresident hu jintao,EGYPT,1.0
kelly slater,AUSTRALIA,1.0
rob ford,CANADA,1.0
marriedbelhassen trabelsi,TUNISIA,1.0
euan armstrong,BAHRAIN,1.0
steven kazmierczak,UNITED STATES,1.0
sa'ad abubakar,NIGERIA,1.0
terry waite,YEMEN,3.0
ibrahim tatlises,TURKEY,1.0
mahmoud ramadan el attar,NEW ZEALAND,1.0
ross mcgowan,PERTH AUSTRALIA,1.0
louis oosthuizenand martin kaymer,BAHRAIN,9.0
ben ratliff,BELARUS,1.0
sabina megan,ITALY,1.0
russianigor andreev,CANADA,1.0
ken donnelly,DUBAI UNITED ARAB EMIRATES,1.0
jesse andsandra,PENNSYLVANIA USA,1.0
leonardo da vinci,AUSTRALIA,1.0
mark lawrenson,LIVERPOOL ENGLAND,2.0
rodney hogg,AUSTRALIA,1.0
sid hil,GLASGOW SCOTLAND,1.0
rufus sewell,SOUTH AFRICA,1.0
stieg larsson,SWEDEN,2.0
mark evans,LONDON ENGLAND,1.0
ofosama bin laden,MIDDLE EAST,1.0
qari hussain,SAUDI ARABIA,1.0
al qaedafeatures,EGYPT,1.0
john rwangombwa,SAUDI ARABIA,2.0
south korean navycommandos,OMAN,1.0
jabu shabani,RWANDA,1.0
ali idir,EGYPT,1.0
gareth harvey,WALES,1.0
caroline wozniacki6-1,CANADA,2.0
nadine coyle,LONDON ENGLAND,3.0
michael turner,UNITED STATES,1.0
saddam hussein,AUSTRALIA,1.0
fredrik andersson,BAHRAIN,3.0
lleyton hewitt,WALES,1.0
marcus sweeney,UNITED ARAB EMIRATES,1.0
asmir begovic,MANCHESTER ENGLAND,6.0
zine el abedine ben ali,COTE D'IVOIRE,2.0
salum bakari,TANZANIA UNITED REPUBLIC OF,1.0
carolyn spencer-brown,MEDITERRANEAN SEA,1.0
bruce mcavaney,UNITED ARAB EMIRATES,1.0
mikhail khodorkovsky,VENEZUELA BOLIVARIAN REPUBLIC OF,1.0
richard dearlove,UNITED KINGDOM,1.0
hoseyn sobhaninia,EGYPT,1.0
george h.w. bush,IRAQ,3.0
tom crane,UNITED STATES,2.0
sarah munro,SPAIN,2.0
seve ballesteros,UNITED ARAB EMIRATES,2.0
florian mayer,AUSTRALIA,5.0
muhammad sabah al-salim al-sabah,KUWAIT,5.0
alicia witt,FRANCE,1.0
bacary sagna,NETHERLANDS,1.0
yasuhito endoyosuke kashiwagikeisuke hondashinji okazaki,AUSTRALIA,1.0
ayatollah ali khamene'i,IRAN ISLAMIC REPUBLIC OF,2.0
george romero,CANADA,1.0
ibrahim al-douri,KUWAIT,1.0
rafiq belhaj kacem,TUNISIA,7.0
son yun hee,MALAYSIA,1.0
michael flynn,AUSTRALIA,19.0
ameir chuwa,TANZANIA UNITED REPUBLIC OF,1.0
joel coen,BAHRAIN,3.0
cecilde mille,IRAQ,1.0
lee westwood,ENGLAND,1.0
nigel cole,UNITED STATES,1.0
dulcie pearcesection,UNITED KINGDOM,1.0
gwynne dyer,AFGHANISTAN,1.0
donna rice,AUSTRALIA,4.0
robert novack,IRAQ,1.0
caleb atemi,KENYA,3.0
vicky kell,DUBAI UNITED ARAB EMIRATES,1.0
ashraf khalilsection,TUNISIA,1.0
kate middleton tegwen morris,WALES,2.0
johan edfors,SPAIN,1.0
professormartin winterkorn,UNITED STATES,1.0
anchorwoman layla al-shayib,TUNISIA,1.0
shaz thompson,NORTHERN IRELAND,1.0
douglas mawson,AUSTRALIA,1.0
james borchuck,AFGHANISTAN,1.0
hugh hefner,NEW YORK USA,1.0
khalid shaikh mohammed,UNITED STATES,3.0
dennis wise,UNITED STATES,1.0
kohzo tashima,QATAR,2.0
julie etchingham,WALES,1.0
shimon peresand,UNITED STATES,3.0
adlai stevenson,ISRAEL,1.0
chuck norris factswebsite,KENYA,3.0
leslie bricusse,SCOTLAND,1.0
rosemary dicarlo,PALESTINIAN TERRITORY OCCUPIED,1.0
ahmed ibrahim al tahir,TUNISIA,24.0
maggie fick,SUDAN,1.0
ann widdecombe,SAUDI ARABIA,1.0
yasuyuki konno,IRAQ,1.0
shi'i iraqicleric,IRAQ,1.0
nikita simonyan,BRAZIL,1.0
mohammed david,TUNISIA,1.0
nicola bardonsection,TUNISIA,1.0
tim fraser,IRAQ,2.0
cyrine ben ali,SAUDI ARABIA,1.0
maurizio massari,TUNISIA,1.0
ahmed mohammed,SOUTH AFRICA,3.0
lucas neillalmost,AUSTRALIA,1.0
zatil iman abdul ghani,MALAYSIA,7.0
gabrielle giffords,SUDAN,2.0
adam langton burke,ATLANTIC OCEAN,1.0
juan valera,QATAR,1.0
nada bakri,YEMEN,1.0
massimo lucchesini,ITALY,1.0
alastair crooke,SCOTLAND,1.0
john aloisi,MELBOURNE AUSTRALIA,2.0
derek quinlan,UNITED KINGDOM,1.0
pip christmass,UNITED STATES,1.0
hardi han,AUSTRALIA,1.0
mark prendergast,INDONESIA,1.0
hassan omar al-bashir,IRAQ,1.0
gertrude bell,UZBEKISTAN,1.0
nabil qawqsaid,LEBANON,1.0
linda pearcesection,VICTORIA AUSTRALIA,2.0
andy roddick,QATAR,1.0
james jay carafano,AFGHANISTAN,1.0
aasia bibi,KARACHIPAKISTAN,1.0
prince mish,SAUDI ARABIA,1.0
ben crenshaw,UNITED ARAB EMIRATES,1.0
lieutenant-colonel jp phillips,CANADA,1.0
hussein swaleh,EGYPT,1.0
larry summers,UNITED STATES,1.0
nabil shaath,AUSTRALIA,1.0
joshua elias price hourani,PHILIPPINES,1.0
katherine heigl,IRAQ,2.0
mullan blantyre,SCOTLAND,1.0
shinji kagawas,KOREA REPUBLIC OF,1.0
abdelaziz bouteflikais,JORDAN,1.0
muhammad safadi,SYRIA,1.0
nehme tohme,LEBANON,1.0
david bentley,WALES,2.0
azlan iskandar,MALAYSIA,1.0
heather milburn,UNITED ARAB EMIRATES,1.0
philip mansel,MEDITERRANEAN,1.0
guillermo del toro,UNITED STATES,2.0
ian fleming,DUBAI UNITED ARAB EMIRATES,2.0
peter mandelson,WALES,1.0
nick dougherty,LIVERPOOL ENGLAND,1.0
zulfahmi arifin,SINGAPORE,1.0
serena williams,UNITED KINGDOM,1.0
idriss bouazizi,TUNISIA,1.0
bird runningwater,UNITED STATES,1.0
baroness ashton ofupholland,EGYPT,4.0
rachid ghannoushi,TUNISIA,5.0
garry wills,SCOTLAND,1.0
chris ashton,ENGLAND,1.0
jaafar nimeiri,PAKISTAN,1.0
jon mckain,KOREA REPUBLIC OF,1.0
sandra bullockwas,PENNSYLVANIA USA,1.0
hugh fearnley-whittingstall,ARCTIC,1.0
eugene katchalov,CARIBBEAN ISLANDS,1.0
radek stepanek,MASSACHUSETTS USA,1.0
steve coleman,UNITED STATES,3.0
zephania arinaitwe katungi,UGANDA,2.0
caroline baum wombarra,AUSTRALIA,1.0
kristin kosch,UNITED STATES,1.0
patrick kidd,UNITED ARAB EMIRATES,2.0
li keqiang,CHINA,1.0
min yiren,CHINA,1.0
musa ghorbani,IRAN ISLAMIC REPUBLIC OF,1.0
datuk jamil osman,MALAYSIA,1.0
mohammad al zino,BRAZIL,1.0
fred nile,AUSTRALIA,1.0
omar hassan al bashir,AFGHANISTAN,1.0
mahmud abbas,PALESTINIAN TERRITORY OCCUPIED,22.0
ron paul,FLORIDA USA,1.0
robert marquand,CANADA,1.0
londonlawyer david lewis,AUSTRALIA,1.0
michael steele getty,QATAR,1.0
ricardo santos,INDIA,1.0
archie jackson,AUSTRALIA,1.0
seth rogen,UNITED STATES,1.0
jose pesiero,JORDAN,1.0
roz savage,WALES,1.0
top scot paul lawrie,BAHRAIN,16.0
lone scherfig,INDIA,1.0
tim hudak,CANADA,2.0
viktor orban methosni mubarak,HUNGARY,2.0
yuriy lutsenko,UKRAINE,2.0
shaykh dr. salem jaberal-sabah,KUWAIT,1.0
bill bridges,NEW SOUTH WALES AUSTRALIA,1.0
elin fflur lloyddavies,EGYPT,1.0
sven goran eriksson,MANCHESTER ENGLAND,1.0
sayeeda warsi,UNITED KINGDOM,1.0
abdel-rahim mohamed hussein,SUDAN,1.0
shaykh abdul aziz bin baz,SAUDI ARABIA,2.0
ruben bemelmans,INDIA,1.0
paul kaplan,EUROPE,1.0
r.j. reynolds,VICTORIA AUSTRALIA,1.0
lawrence mulindwa,UGANDA,4.0
john rocadaily,EGYPT,1.0
yeteven tarratt,UNITED STATES,1.0
barry johnson,ASIA,1.0
jim stokes,IRAN ISLAMIC REPUBLIC OF,1.0
larry king,AUSTRALIA,1.0
brett katz,AUSTRALIA,1.0
newt gingrichand,CALIFORNIA USA,1.0
andy carroll,DUBAI UNITED ARAB EMIRATES,5.0
gareth vaughan,TUNISIA,1.0
susan jungsection,MOROCCO,1.0
thomas henry,FLORIDA USA,1.0
tamir al-smadi,JORDAN,1.0
adrian leesection,IRAQ,1.0
nicholas cecil,IRAQ,2.0
lebanesepremier rafiq al-hariri,SYRIA,3.0
sergei courtyard,RUSSIAN FEDERATION,1.0
paul watson,ANTARCTICA,1.0
fabian coulthard,AUSTRALIA,1.0
sandy balls,PUERTO RICO,1.0
barbara wamala,UGANDA,2.0
harriet harman,UNITED KINGDOM,1.0
johnny gorman,NORTHERN IRELAND,1.0
baroness catherine ashton,ITALY,3.0
soccerooscaptain lucas neill,QATAR,4.0
mazin mahmud,IRAQ,1.0
dov zakheim,PENNSYLVANIA USA,1.0
johan meeding,SOUTH AFRICA,7.0
jeannie herlihy,UNITED STATES,1.0
michael arndttrue grit joel coen,UNITED KINGDOM,4.0
ahmadu bello,TUNISIA,2.0
sidi bou said,VIETNAM,2.0
steven erlanger,ALGERIA,1.0
abdul raheem bin hassan,SAUDI ARABIA,1.0
patricia horoho,IRAQ,1.0
lance corporal gary sinar,AFGHANISTAN,1.0
chaouki almi,TUNISIA,1.0
stendera ziepju fabrika,RUSSIAN FEDERATION,1.0
lydian ali,UNITED STATES,1.0
li chengwen,SUDAN,1.0
erini saleh,EGYPT,2.0
daniel kapere,UGANDA,2.0
lotfy fahmi,EGYPT,1.0
neil henley,JORDAN,1.0
tom wharton,SCOTLAND,1.0
jose luis rodriguez zapatero,TUNISIA,1.0
robert mitchum,MOROCCO,1.0
zine el abidine ben ali,COTE D'IVOIRE,1.0
nick jonas,EASTERN AFRICA,2.0
baghdadjames jeffrey,IRAQ,1.0
john hinckley jr. reagan,IRAQ,1.0
ian birrell,IRAQ,2.0
gerardo francisco,UNITED STATES,1.0
luke power,AUSTRALIA,2.0
patricia greencolumbia,UNITED STATES,1.0
thaddeus g mccotter,EGYPT,1.0
samar khayal,ISRAEL,1.0
brad jones,IRAQ,1.0
malcolm grant,LONDON ENGLAND,1.0
neil cooper,INDIA,2.0
sharifullah sahak,AFGHANISTAN,1.0
katrina garnett,UNITED STATES,1.0
angela allen,LIVERPOOL ENGLAND,1.0
paul mcginley,UNITED STATES,3.0
gary barlow,UNITED ARAB EMIRATES,1.0
michel rusheshangoga,EGYPT,1.0
robert mitchum,UNITED STATES,1.0
mustafa abu-al-rubb,PALESTINIAN TERRITORY OCCUPIED,1.0
felipe massa,UNITED ARAB EMIRATES,1.0
addis ababa,ETHIOPIA,2.0
mabrouk saleem mubarak,LIBYAN ARAB JAMAHIRIYA,1.0
jamie cooper,QATAR,1.0
mohammed nabil riyadh,EGYPT,1.0
diane abbott,LONDON ENGLAND,1.0
natalie portman,CALIFORNIA USA,1.0
peggy baker,CANADA,1.0
anne applebaumsection,TUNISIA,1.0
abd-al-majid al-khuw,IRAQ,1.0
martin adams,SWEDEN,1.0
josh laytonsection,LONDON ENGLAND,1.0
dimitri medvedev,EGYPT,1.0
bernard salt,UNITED ARAB EMIRATES,1.0
manko kaweesa,EGYPT,13.0
faye dunaway,IRAQ,1.0
recep tayyip erdogan,IRAQ,1.0
rafael da silva,BAHRAIN,1.0
server djeparov,UZBEKISTAN,5.0
jabar sheik,SOUTH AFRICA,7.0
paul mullins,NORTH AMERICA,1.0
john still,EGYPT,1.0
antonio guterres,IRAQ,2.0
burt cockley,AUSTRALIA,1.0
babatunde fasholalagos,EGYPT,2.0
barry york lyneham,EGYPT,1.0
jonathan eyal,HAWAII USA,2.0
darren o reilly,IRELAND,1.0
gebremedin gebrehiwot,AFRICA,1.0
alec douglas-home,UNITED KINGDOM,1.0
fouad saad,EGYPT,1.0
achou bel sana,TUNISIA,1.0
factjavier hernandez,UNITED ARAB EMIRATES,1.0
nicat qocayev,EGYPT,1.0
albert elbaz,UNITED STATES,1.0
bywajdi mouawad,QUEBEC CANADA,1.0
patrick rafter,AUSTRALIA,2.0
edouard neviaski,NORTH AMERICA,1.0
taieb baccouche,TUNISIA,13.0
george dubya bush,AFGHANISTAN,1.0
stacy schiff,IRAQ,2.0
marquis de sade,UNITED STATES,1.0
sam stovall,EGYPT,1.0
evangelos venizelos,GREECE,1.0
roger federerat,LOUISIANA USA,1.0
shlomo brom,EGYPT,1.0
ibrahim bin abdulaziz al-qudhaibi,SAUDI ARABIA,1.0
rex ryan,UNITED STATES,1.0
iris berardi,ITALY,5.0
el fourati,TUNISIA,1.0
sufian allaw,SYRIA,1.0
ben alial-faysal,TUNISIA,1.0
barlionel messi,LIVERPOOL ENGLAND,1.0
becky james,SCOTLAND,1.0
frank dimant,ISRAEL,1.0
ali abdallah salihto,YEMEN,1.0
liz hurley,AUSTRALIA,1.0
martin chulov,LEBANON,3.0
adrian heili,LONDON ENGLAND,1.0
vincent van der bijl,SOUTH AFRICA,1.0
patrick vieira,MELBOURNE AUSTRALIA,1.0
mohamed nagy gedocreated hamdi,SUDAN,1.0
bashir yuguda,NIGERIA,2.0
bertrand marottesection,SOUTH AMERICA,1.0
bernard tabaire,UGANDA,1.0
darren bent,MOROCCO,2.0
zin el abidin ben ali,EUROPEAN UNION MEMBER STATES,1.0
zouheir souissi,TUNISIA,1.0
ajay maken,INDIA,1.0
ali abdallah saleh,QATAR,1.0
rebecca lynne,AUSTRALIA,1.0
afolarin akosile,GHANA,2.0
lotfi abdennadher,TUNISIA,1.0
terry jenkins,SCOTLAND,1.0
thomas williamson,VICTORIA AUSTRALIA,1.0
rio tinto,UNITED STATES,1.0
joseph wilson,IRAQ,1.0
faouzi rzig,BRAZIL,1.0
mark steyn,KUWAIT,1.0
norman lewisand wilfred thesiger,TIBET,1.0
davy burns,BAHRAIN,1.0
saney aweys,EGYPT,1.0
gao hongbo,KUWAIT,1.0
anthony shadid,CAIRO EGYPT,1.0
leticia aceves,AFGHANISTAN,1.0
donald kirk,PHILADELPHIA PA USA,1.0
jeremy corbyn,NEW ZEALAND,1.0
tanya biank,IRAQ,1.0
jon enoch,LONDON ENGLAND,2.0
alavijeh hojjat ol-eslam soltanzadeh,IRAN ISLAMIC REPUBLIC OF,1.0
abdel halim kandil,EGYPT,3.0
abdelkader zitouni,TUNISIA,1.0
nicky richards,UNITED ARAB EMIRATES,2.0
hamed qavitan,IRAN ISLAMIC REPUBLIC OF,1.0
pope shenouda iii,EGYPT,2.0
edward viii,TURKEY,1.0
jaap stam,ENGLAND,1.0
ben alioffered,TUNISIA,2.0
sharl jabbu,UNITED STATES,2.0
yousef ahmad,EGYPT,1.0
lakiha spicer tyson,CALIFORNIA USA,1.0
alwaleed bin talal,BEIRUT LEBANON,1.0
derry editionranger,AFGHANISTAN,1.0
hojjat ol-eslam nazemi,IRAN ISLAMIC REPUBLIC OF,1.0
ahmed el-tayeb,EGYPT,5.0
nasser al johar,IRAQ,2.0
hosni mubarakfriday,UNITED STATES,1.0
ernests gulbis,MELBOURNE AUSTRALIA,2.0
michael sportello,UNITED STATES,2.0
ayatollah khomeini,ISRAEL,1.0
abdallah el-zein,PALESTINIAN TERRITORY OCCUPIED,1.0
gurcharan das,FRANCE,3.0
ahmad ali vahidi,SYRIA,1.0
frankie boyle,CHINA,1.0
tahrir squareto,CAIRO EGYPT,2.0
abdullah al-ghalbi,SAUDI ARABIA,1.0
ayodele fayose,NIGERIA,3.0
nigeriacoach samson siasia,NIGERIA,7.0
cindy crawford,CARIBBEAN ISLANDS,1.0
shaykh ahmad al-tayyib,HOLY SEE,1.0
yudah mugalu,TANZANIA UNITED REPUBLIC OF,2.0
joyce karam,UNITED STATES,3.0
joanne mcleod,CANADA,1.0
joe erico,NIGERIA,2.0
mike evans,AUSTRALIA,3.0
manny ramirez,UNITED STATES,2.0
abu dhabiwill,SOUTH AFRICA,1.0
dean ellis,NEW ZEALAND,1.0
el dar,UNITED STATES,1.0
meditor djibril bassole,FRANCE,1.0
susan walsh,AFGHANISTAN,1.0
karen deyoung,AFGHANISTAN,1.0
liverpoolcaptain steven gerrard,LIVERPOOL ENGLAND,13.0
ian cuthbertson,IRAQ,1.0
brian mcareavey,MAURITIUS,2.0
wahad riaz,ENGLAND,2.0
bronwen maddox,EGYPT,2.0
jack oguda,KENYA,2.0
sulayman al-hafiz,JORDAN,1.0
hilary leila krieger,TUNISIA,1.0
fernando alonsohis,NORTH AMERICA,1.0
justine hubbard,HONG KONG,2.0
gamal mubarak,TUNISIA,1.0
azzam alwash,UNITED KINGDOM,2.0
atis klimovics,AZERBAIJAN,1.0
danny boyle,ISRAEL,1.0
jeroen huisman,SINGAPORE,1.0
william morris,TURKEY,1.0
timothy ferriss,MEXICO,1.0
steve zielinski,UNITED ARAB EMIRATES,1.0
jimmy bullard,MOROCCO,2.0
henry umoru,NIGERIA,1.0
sheik ali gomaa,EGYPT,3.0
john paul ii,UNITED STATES,1.0
harriet harman,SCOTLAND,1.0
jenny williamssection,INDONESIA,1.0
oscar pistoriuswin,IRAQ,1.0
farouk yaacoub,BEIRUT LEBANON,1.0
patricia heaton,UNITED STATES,2.0
mohammad al-salem al-sabah,KUWAIT,1.0
lloyd blankfein,UNITED STATES,1.0
amos yaldin,SYRIA,1.0
ali abdallah saleh,YEMEN,35.0
vladimir lenin,INDONESIA,1.0
paul hanley,SAUDI ARABIA,2.0
azza mohamed,EGYPT,4.0
andrea horwath,CANADA,1.0
seb coe,BRAZIL,1.0
peter gregson,LONDON ENGLAND,2.0
allens arthur robinson,DUBAI UNITED ARAB EMIRATES,1.0
soumaya ghannoushi,TUNISIA,6.0
claire garner,HONG KONG,1.0
instisar mohammed,IRAQ,1.0
david oliverof,CHINA,1.0
pamela chiwayaand kuda moyo,ZIMBABWE,4.0
salih al-hayis,IRAQ,1.0
yusuf abdul raof,ASIA,1.0
yolanda matayataya,SOUTH AFRICA,2.0
roger federerblasted,AUSTRALIA,3.0
jalaluddin haqqani,AFGHANISTAN,1.0
andy roddick,BRISBANE AUSTRALIA,1.0
camilia shihatah,EGYPT,1.0
j.h. hertz,UNITED STATES,1.0
imad muhammad fahd,IRAQ,1.0
isam al-uryan,EGYPT,2.0
jim prenticefound,CANADA,1.0
hasan munaymanah,IRAN ISLAMIC REPUBLIC OF,1.0
alex mcleish,UNITED ARAB EMIRATES,1.0
abdullah al-jumaily,IRAQ,1.0
emma pomfret,UNITED STATES,2.0
jim jefferies,AUSTRALIA,6.0
an nahar,LEBANON,2.0
konstantins palgovs,LATVIA,1.0
iraniannewspaper mardom salari,TUNISIA,1.0
sue devitt beauty,UNITED STATES,1.0
usamah al-nujayfi,BAGHDAD IRAQ,1.0
natalie imbruglia,AFGHANISTAN,1.0
alex singletonsubject,HONG KONG,1.0
al jazeeratelevision,EGYPT,1.0
dubairuler mohammed bin rashid,UNITED ARAB EMIRATES,1.0
gen rachid ammar,TUNISIA,26.0
cynthia villar,PHILIPPINES,1.0
julian morrow,AUSTRALIA,1.0
koreaand maya yoshida,IRAQ,1.0
mcneir hall,UNITED STATES,1.0
thomas bjornand,RUSSIAN FEDERATION,2.0
datuk shahrilshamsuddin,MALAYSIA,1.0
minerals ministerahmad al-karbuli,IRAQ,1.0
margaret thatcher,EGYPT,2.0
grand ayatollah ali al-sistani,UNITED STATES,1.0
john w henry,LIVERPOOL ENGLAND,4.0
emmet malonesection,NORWAY,1.0
staffmaj hasan al-baydani,IRAQ,1.0
robert bunsen,SCOTLAND,1.0
lauren williams,SYRIA,1.0
surhat sukha,MELBOURNE AUSTRALIA,1.0
silvio berlusconi,AUSTRALIA,1.0
binyamin netanyahu,CHILE,1.0
